City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
566,Olden,NO,57.94,broken clouds,61.8364,6.8064,Nesset Fjordcamping Olden
583,Sitka,US,55.29,overcast clouds,57.0531,-135.33,Westmark Sitka
584,Whitehorse,CA,56.1,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
591,Ahipara,NZ,53.98,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
606,Arman,RU,57.45,broken clouds,59.7,150.1667,
623,Macusani,PE,51.53,few clouds,-14.0833,-70.4333,"Hospedaje ""Arca de Noe"""
626,Frankfort,ZA,53.96,broken clouds,-27.2667,28.4833,Formule 11 Accomodation
638,Noyabrsk,RU,51.01,overcast clouds,63.1994,75.4507,Hotel Uyutnaya
641,Brae,GB,53.1,broken clouds,60.3964,-1.353,Busta House Hotel
655,Severobaykalsk,RU,52.95,overcast clouds,55.65,109.3167,Hostel03RUS
656,Vostok,RU,58.77,broken clouds,46.4856,135.8833,
669,Olafsvik,IS,53.51,broken clouds,64.8945,-23.7142,Hotel Olafsvik
672,Skjervoy,NO,53.6,overcast clouds,70.0311,20.9714,Skjervøy fiskecamp AS
678,Saldanha,ZA,54.36,broken clouds,-33.0117,17.9442,Blue Bay Lodge
681,Tingi,TZ,58.14,scattered clouds,-11.3,35.0333,
700,Kamenka,RU,57.67,broken clouds,51.3223,42.7678,
701,Pokosnoye,RU,54.84,scattered clouds,55.5258,101.0536,
706,Teya,RU,53.17,broken clouds,60.3778,92.6267,
712,Kenai,US,52.14,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
