City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Rikitea,PF,2022-07-12 18:29:39,-23.1203,-134.9692,74.91,72,70,15.93
59,Okato,NZ,2022-07-12 18:29:40,-39.2,173.8833,56.17,84,61,7.0
60,Hilo,US,2022-07-12 18:29:40,19.7297,-155.09,81.1,63,0,3.0
61,Nikolskoye,RU,2022-07-12 18:29:41,59.7035,30.7861,71.87,90,94,6.24
62,Buraydah,SA,2022-07-12 18:29:41,26.326,43.975,97.25,11,100,7.85
63,Kapaa,US,2022-07-12 18:29:42,22.0752,-159.319,78.78,78,100,18.41
64,College,US,2022-07-12 18:29:42,64.8569,-147.8028,65.28,87,75,0.0
65,Freeport,US,2022-07-12 18:29:43,40.6576,-73.5832,92.98,64,0,18.41
66,Hithadhoo,MV,2022-07-12 18:29:43,-0.6,73.0833,82.27,77,58,10.85
67,Tymovskoye,RU,2022-07-12 18:29:43,50.8456,142.655,58.6,97,60,4.07
68,Busselton,AU,2022-07-12 18:29:44,-33.65,115.3333,55.45,84,29,6.24
69,Upernavik,GL,2022-07-12 18:29:44,72.7868,-56.1549,42.21,85,98,4.12
70,Oksfjord,NO,2022-07-12 18:29:45,70.2396,22.3479,68.07,49,73,7.43
71,Carutapera,BR,2022-07-12 18:29:45,-1.195,-46.02,83.88,72,45,7.02
72,Butaritari,KI,2022-07-12 18:29:46,3.0707,172.7902,81.93,76,96,17.11
73,Katsuura,JP,2022-07-12 18:27:00,35.1333,140.3,74.93,92,97,5.95
74,Saint George,US,2022-07-12 18:29:46,37.1041,-113.5841,102.43,19,0,4.61
75,Chuy,UY,2022-07-12 18:29:47,-33.6971,-53.4616,49.15,67,91,10.18
76,Sao Filipe,CV,2022-07-12 18:29:47,14.8961,-24.4956,75.02,80,5,6.85
77,Jamestown,US,2022-07-12 18:29:48,42.097,-79.2353,82.53,52,40,16.11
78,Lavrentiya,RU,2022-07-12 18:29:48,65.5833,-171.0,46.49,86,85,3.58
79,Nome,US,2022-07-12 18:29:48,64.5011,-165.4064,57.16,71,0,3.44
80,Bengkulu,ID,2022-07-12 18:29:49,-3.8004,102.2655,75.0,94,90,3.58
81,Darhan,MN,2022-07-12 18:29:49,49.4867,105.9228,61.93,68,36,3.87
82,Grand Island,US,2022-07-12 18:28:19,40.925,-98.342,84.38,42,0,5.75
83,Bambous Virieux,MU,2022-07-12 18:29:50,-20.3428,57.7575,71.85,68,75,16.11
84,Ponta Do Sol,PT,2022-07-12 18:29:50,32.6667,-17.1,75.0,66,69,5.08
85,Cabo San Lucas,MX,2022-07-12 18:29:51,22.8909,-109.9124,94.3,62,0,6.91
86,Carnarvon,AU,2022-07-12 18:29:51,-24.8667,113.6333,65.08,68,0,0.47
87,Port Alfred,ZA,2022-07-12 18:29:52,-33.5906,26.891,59.31,71,0,11.18
88,Ingham,US,2022-07-12 18:29:52,42.6,-84.3833,80.91,60,75,11.5
89,Longyearbyen,SJ,2022-07-12 18:27:27,78.2186,15.6401,46.24,93,75,3.44
90,Ambilobe,MG,2022-07-12 18:30:53,-13.2,49.05,70.07,75,7,4.18
91,Pochutla,MX,2022-07-12 18:30:53,15.7432,-96.4661,90.82,56,63,6.02
92,Sistranda,NO,2022-07-12 18:30:54,63.7256,8.834,60.76,85,100,18.12
93,Cravo Norte,CO,2022-07-12 18:30:54,6.3017,-70.2041,83.3,73,87,9.69
94,Shingu,JP,2022-07-12 18:29:02,33.7333,135.9833,74.86,90,91,3.76
95,Saint-Joseph,RE,2022-07-12 18:30:55,-21.3667,55.6167,68.38,68,22,13.24
96,Virginia Beach,US,2022-07-12 18:29:16,36.8529,-75.978,92.01,60,75,11.5
97,Atuona,PF,2022-07-12 18:30:55,-9.8,-139.0333,77.5,79,71,18.5
98,Shimoda,JP,2022-07-12 18:30:55,34.6667,138.95,72.1,94,100,4.05
99,Talnakh,RU,2022-07-12 18:26:51,69.4865,88.3972,45.21,68,85,11.03
100,Adrar,MR,2022-07-12 18:30:56,20.5022,-10.0711,104.31,6,9,12.66
101,Avarua,CK,2022-07-12 18:30:57,-21.2078,-159.775,69.85,78,100,2.3
102,Puerto Ayora,EC,2022-07-12 18:26:44,-0.7393,-90.3518,78.76,83,38,8.99
103,Te Anau,NZ,2022-07-12 18:30:57,-45.4167,167.7167,38.52,99,100,3.76
104,Ushuaia,AR,2022-07-12 18:29:07,-54.8,-68.3,38.86,87,75,10.36
105,Hobart,AU,2022-07-12 18:30:03,-42.8794,147.3294,44.46,85,75,9.22
106,Kapit,MY,2022-07-12 18:30:58,2.0167,112.9333,73.24,100,100,1.81
107,Corund,RO,2022-07-12 18:30:58,46.4667,25.1833,59.68,74,24,0.72
108,Qaanaaq,GL,2022-07-12 18:30:59,77.484,-69.3632,43.12,68,98,4.92
109,Bekhtery,UA,2022-07-12 18:30:59,46.251,32.2927,66.49,59,2,7.31
110,Thompson,CA,2022-07-12 18:28:48,55.7435,-97.8558,69.96,49,20,2.3
111,Kanniyakumari,IN,2022-07-12 18:31:00,8.0833,77.5667,78.98,83,100,19.08
112,Cherskiy,RU,2022-07-12 18:31:00,68.75,161.3,50.85,71,0,12.59
113,Ahipara,NZ,2022-07-12 18:26:52,-35.1667,173.1667,58.26,86,15,13.91
114,Arlit,NE,2022-07-12 18:31:01,18.7369,7.3853,96.48,23,64,6.69
115,Peleduy,RU,2022-07-12 18:31:01,59.6289,112.7406,55.51,90,100,5.39
116,Paoua,CF,2022-07-12 18:31:02,7.2427,16.4406,67.37,93,88,4.7
117,New Norfolk,AU,2022-07-12 18:31:02,-42.7826,147.0587,44.1,81,91,1.01
